Taxonomy,Timepoint,Type,Name,GPM
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,1,Metatranscriptome,boxAB,16.84192169
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,2,Metatranscriptome,boxAB,21.96820557
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,3,Metatranscriptome,boxAB,7.4204404
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,5,Metatranscriptome,boxAB,1.861101084
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,5.5,Metatranscriptome,boxAB,2.050320193
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,6,Metatranscriptome,boxAB,2.723734112
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,7,Metatranscriptome,boxAB,11.11457553
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,8,Metatranscriptome,boxAB,20.29278364
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,9,Metatranscriptome,boxAB,11.35941803
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,10,Metatranscriptome,boxAB,3.987043952
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,11,Metatranscriptome,boxAB,5.325760934
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,12,Metatranscriptome,boxAB,3.395928769
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,12.5,Metatranscriptome,boxAB,7.178284926
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,13,Metatranscriptome,boxAB,5.87071785
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,13.5,Metatranscriptome,boxAB,9.468949386
Bacteria;Under 2% of Population,1,Metatranscriptome,boxAB,4.680671515
Bacteria;Under 2% of Population,2,Metatranscriptome,boxAB,4.92504323
Bacteria;Under 2% of Population,3,Metatranscriptome,boxAB,3.2404183
Bacteria;Under 2% of Population,5,Metatranscriptome,boxAB,4.689504789
Bacteria;Under 2% of Population,5.5,Metatranscriptome,boxAB,2.746094796
Bacteria;Under 2% of Population,6,Metatranscriptome,boxAB,3.211797027
Bacteria;Under 2% of Population,7,Metatranscriptome,boxAB,6.515559652
Bacteria;Under 2% of Population,8,Metatranscriptome,boxAB,5.265506788
Bacteria;Under 2% of Population,9,Metatranscriptome,boxAB,6.375445909
Bacteria;Under 2% of Population,10,Metatranscriptome,boxAB,1.464816205
Bacteria;Under 2% of Population,11,Metatranscriptome,boxAB,1.515578219
Bacteria;Under 2% of Population,12,Metatranscriptome,boxAB,2.750030308
Bacteria;Under 2% of Population,12.5,Metatranscriptome,boxAB,0.986550919
Bacteria;Under 2% of Population,13,Metatranscriptome,boxAB,4.059149633
Bacteria;Under 2% of Population,13.5,Metatranscriptome,boxAB,0.960930746
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,1,Metatranscriptome,boxAB,20.06512755
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,2,Metatranscriptome,boxAB,29.25667682
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,3,Metatranscriptome,boxAB,16.68446983
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,5,Metatranscriptome,boxAB,15.17788164
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,5.5,Metatranscriptome,boxAB,10.1314979
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,6,Metatranscriptome,boxAB,15.94710459
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,7,Metatranscriptome,boxAB,14.09145053
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,8,Metatranscriptome,boxAB,20.34162935
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,9,Metatranscriptome,boxAB,12.8080368
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,10,Metatranscriptome,boxAB,9.656038306
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,11,Metatranscriptome,boxAB,35.1148064
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,12,Metatranscriptome,boxAB,41.89725951
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,12.5,Metatranscriptome,boxAB,26.89440754
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,13,Metatranscriptome,boxAB,54.60384515
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,13.5,Metatranscriptome,boxAB,13.76016695
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,1,Metatranscriptome,boxAB,24.84846585
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,2,Metatranscriptome,boxAB,71.69665699
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,3,Metatranscriptome,boxAB,30.8896938
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,5,Metatranscriptome,boxAB,69.70292952
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,5.5,Metatranscriptome,boxAB,46.79311226
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,6,Metatranscriptome,boxAB,73.73353232
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,7,Metatranscriptome,boxAB,141.6460882
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,8,Metatranscriptome,boxAB,105.2718315
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,9,Metatranscriptome,boxAB,73.53707644
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,10,Metatranscriptome,boxAB,57.73568013
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,11,Metatranscriptome,boxAB,36.26959887
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,12,Metatranscriptome,boxAB,57.48342594
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,12.5,Metatranscriptome,boxAB,32.12104586
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,13,Metatranscriptome,boxAB,70.20635798
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,13.5,Metatranscriptome,boxAB,40.71808843
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,1,Metatranscriptome,boxAB,2.120586838
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,2,Metatranscriptome,boxAB,0.516946135
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,3,Metatranscriptome,boxAB,1.992352
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,5,Metatranscriptome,boxAB,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,5.5,Metatranscriptome,boxAB,1.6216415
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,6,Metatranscriptome,boxAB,9.964340058
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,7,Metatranscriptome,boxAB,2.392109969
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,8,Metatranscriptome,boxAB,2.038013603
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,9,Metatranscriptome,boxAB,19.70479101
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,10,Metatranscriptome,boxAB,1.048693849
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,11,Metatranscriptome,boxAB,0.969993366
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,12,Metatranscriptome,boxAB,4.354028702
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,12.5,Metatranscriptome,boxAB,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,13,Metatranscriptome,boxAB,0.67394807
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,13.5,Metatranscriptome,boxAB,0.56720253
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,1,Metatranscriptome,boxAB,4.581411532
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,2,Metatranscriptome,boxAB,4.160988623
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,3,Metatranscriptome,boxAB,2.818220081
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,5,Metatranscriptome,boxAB,3.806251377
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,5.5,Metatranscriptome,boxAB,4.662906984
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,6,Metatranscriptome,boxAB,4.9154699
