baseMean,padj,group_1,tide
15.05116409,3.84E-11,Metabolism,low
39.61897748,0.000242021,Unclassified,low
38.68496838,6.78E-07,Genetic Information Processing,low
13.71477443,4.95E-06,Genetic Information Processing,low
9.312677748,0.002532073,Metabolism,low
40.56674035,0.062656058,Metabolism,low
10.30132165,0.016598342,Genetic Information Processing,low
11.0119176,0.009593661,Genetic Information Processing,low
10.65897973,0.061618156,Genetic Information Processing,low
9.999326717,0.004800216,Genetic Information Processing,low
17.82516723,0.040621592,Organismal Systems,low
1155.055875,0.004924427,Metabolism,low
11.92138732,0.004735652,Metabolism,low
182.8219785,0.119559126,Genetic Information Processing,low
759.5233748,0.00065336,Genetic Information Processing,low
111.8681905,0.222507036,Unclassified,low
13.10124103,0.058699607,Metabolism,low
904.1020667,0.02041446,Metabolism,low
14.16877063,0.020603563,Genetic Information Processing,low
10.5144704,0.181411902,Metabolism,low
225.0931679,0.409667146,Cellular Processes,low
23.0934546,0.277262884,Metabolism,low
21.19315756,0.038716597,Cellular Processes,low
80.74343632,0.039467038,Genetic Information Processing,low
11.1566311,0.270442218,Metabolism,low
18.89061154,0.075670637,Environmental Information Processing,low
111.9424139,0.001825521,Genetic Information Processing,low
140.0272882,0.076829999,Metabolism,low
18.67150285,0.328500063,Genetic Information Processing,low
91.97517274,0.207708263,Genetic Information Processing,low
176.7979318,0.135728641,Human Diseases,low
36.33114232,0.021827962,Environmental Information Processing,low
20.85174357,0.255405804,Environmental Information Processing,low
189.104758,0.33831653,Genetic Information Processing,low
62.44930771,0.074469827,Metabolism,low
114.0437911,0.053256189,Cellular Processes,low
108.164531,0.001751705,Metabolism,low
37.30238135,0.081655313,Genetic Information Processing,low
14.89499996,0.453740855,Genetic Information Processing,low
74.6691646,0.058843441,Genetic Information Processing,low
252.7029056,0.105272164,Cellular Processes,low
164.8301934,0.385825155,Cellular Processes,low
20.98941969,0.103577819,Genetic Information Processing,low
254.1369307,0.245482941,Genetic Information Processing,low
19.21322993,0.168030663,Genetic Information Processing,low
404.4209262,0.197886692,Cellular Processes,low
125.0057797,0.156685034,Cellular Processes,low
21.94393343,0.023363879,Metabolism,low
149.3863703,0.024864148,Organismal Systems,low
44.7143305,0.323486735,Genetic Information Processing,low
187.8581368,0.359673649,Genetic Information Processing,low
15.41253514,0.204324363,Metabolism,low
11.45564119,0.16446518,Genetic Information Processing,low
13.96105553,0.450033042,Cellular Processes,low
18.81876785,0.45359566,Human Diseases,low
222.3984701,0.0413242,Genetic Information Processing,low
9.183966755,0.369349601,Environmental Information Processing,low
40.47870064,0.051246585,Genetic Information Processing,low
47.68065387,0.000598065,Genetic Information Processing,low
1138.951186,0.000924711,Metabolism,low
299.7497868,0.012729447,Genetic Information Processing,low
21.84563929,0.406808405,Human Diseases,low
12.55723803,0.619656002,Genetic Information Processing,low
13.75429228,0.157138977,Genetic Information Processing,low
19.32009239,0.111864685,Metabolism,low
303.4248114,0.010655536,Genetic Information Processing,low
89.44777272,0.350701989,Cellular Processes,low
50.91074726,0.221879587,Metabolism,low
23.42319587,0.628929515,Cellular Processes,low
47.4547258,0.253787114,Metabolism,low
278.7149939,0.378016077,Genetic Information Processing,low
16.6388906,0.155976569,Genetic Information Processing,low
114.336649,0.122955884,Metabolism,low
283.1983273,0.318866563,Genetic Information Processing,low
16.24657055,0.353855157,Genetic Information Processing,low
619.3572939,0.008415643,Metabolism,low
