"gene_id","position","class","genbank","family","activity","percent_match","align_length","mismatch","eval","type","time","percent_id_tax","flg","rg","total_length","rl","KO_num","taxonomy","GPM"
"Ga0181578_10001633","1763-2285","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",78.9,71,15,2e-25,"Metagenome",1,97.26,522,188,28150,149.73,"KO:K02977","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas commoda",2.439200614
"Ga0181578_10004203","12502-12868","Auxiliary Activities","AGE89883.1","AA10","lytic polysaccharide monooxygenases",80.3,76,15,3e-28,"Metagenome",1,100,366,227,32564,143.45,"KO:K08770","Eukaryota;Streptophyta;unclassified Streptophyta;Sapindales;Rutaceae;Citrus;Citrus clementina;Citrus clementina",4.024358615
"Ga0181578_10016043","2251-2497","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",79.5,78,16,1.8e-29,"Metagenome",1,92.59,246,125,18750,150,"KO:K08770","Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium knowlesi;Plasmodium knowlesi",3.447605103
"Ga0181578_10016838","1-385","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",76.4,72,17,1.9e-25,"Metagenome",1,92.74,384,142,21300,150,"KO:K02927","Eukaryota;Streptophyta;unclassified Streptophyta;Brassicales;Brassicaceae;Capsella;Capsella rubella;Capsella rubella",2.508994614
"Ga0181578_10019055","4587-5067","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",84.3,51,8,6.3e-18,"Metagenome",1,75.62,480,98,14700,150,"KO:K02927","Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Phaeodactylaceae;Phaeodactylum;Phaeodactylum tricornutum;Phaeodactylum tricornutum",1.38524773
"Ga0181578_10051213","1295-1547","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",80.3,76,15,4.1e-29,"Metagenome",1,92.31,252,54,8062,149.3,"KO:K08770","Eukaryota;unclassified Eukaryota;Pelagophyceae;Pelagomonadales;unclassified Pelagomonadales;Aureococcus;Aureococcus anophagefferens;Aureococcus anophagefferens",1.447119436
"Ga0181578_10064510","635-1025","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",77.6,76,17,4.2e-28,"Metagenome",1,88.1,390,45,6734,149.64,"KO:K02927","Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Phanerochaete;Phanerochaete chrysosporium;Phanerochaete chrysosporium",0.780992667
"Ga0181578_10065204","2-455","Auxiliary Activities","AGE89883.1","AA10","lytic polysaccharide monooxygenases",80.3,76,15,2.8e-28,"Metagenome",1,100,453,258,37910,146.94,"KO:K08770","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus 'lucimarinus';Ostreococcus 'lucimarinus'",3.785409688
"Ga0181578_10109365","1182-1533","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",77.8,63,14,1.5e-21,"Metagenome",1,90.27,351,47,7050,150,"KO:K02927","Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Phanerochaete;Phanerochaete chrysosporium;Phanerochaete chrysosporium",0.908517611
"Ga0181578_10120046","75-465","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",75,76,19,4.6e-27,"Metagenome",1,88.1,390,44,6600,150,"KO:K02927","Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Phanerochaete;Phanerochaete chrysosporium;Phanerochaete chrysosporium",0.765474413
"Ga0181578_10156831","78-309","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",77.6,76,17,5e-29,"Metagenome",1,93.42,231,22,3300,150,"KO:K04551","Eukaryota;Mollusca;Gastropoda;unclassified Gastropoda;Lottiidae;Lottia;Lottia gigantea;Lottia gigantea",0.646179699
"Ga0181578_10180578","719-1073","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",82.2,73,13,2.4e-27,"Metagenome",1,78.7,354,32,4800,150,"KO:K02927","Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria",0.613323104
"Ga0181578_10206767","234-675","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",76.5,68,16,2.7e-23,"Metagenome",1,92.36,441,176,26400,150,"KO:K02977","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas commoda",2.707800645
"Ga0181578_10331042","433-658","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",82.4,74,13,5.3e-28,"Metagenome",1,95.95,225,26,3852,148.15,"KO:K08770","Eukaryota;Streptophyta;unclassified Streptophyta;Rosales;Rosaceae;Prunus;Prunus persica;Prunus persica",0.774361648
"Ga0181578_10388874","43-433","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",77.6,76,17,4.2e-28,"Metagenome",1,89.68,390,49,7350,150,"KO:K02927","Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Phanerochaete;Phanerochaete chrysosporium;Phanerochaete chrysosporium",0.852460142
"Ga0181578_10422848","324-573","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",81.2,69,13,2.1e-25,"Metagenome",1,86.59,249,11,1650,150,"KO:K02927","Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Podospora;Podospora anserina;Podospora anserina",0.299733957
"Ga0181578_10448466","101-548","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",76.8,69,16,1.9e-24,"Metagenome",1,89.52,447,91,13604,149.49,"KO:K02927","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas commoda",1.376567022
"Ga0181578_10511753","0-432","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",82.9,76,13,5.4e-29,"Metagenome",1,93.67,432,28,4200,150,"KO:K08770","Eukaryota;Streptophyta;Liliopsida;Alismatales;Araceae;Spirodela;Spirodela polyrhiza;Spirodela polyrhiza",0.439761184
"Ga0181578_10550223","0-468","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",81.6,76,14,1e-28,"Metagenome",1,88.04,468,41,6150,150,"KO:K02927","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas commoda",0.59440248
"Ga0181578_10560670","197-434","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",84.2,76,12,2.7e-30,"Metagenome",1,96.15,237,22,3300,150,"KO:K08770","Eukaryota;unclassified Eukaryota;Oomycetes;Peronosporales;unclassified Peronosporales;Phytophthora;Phytophthora ramorum;Phytophthora ramorum",0.62982072
"Ga0181578_10566979","0-459","Auxiliary Activities","AAL01718.1","AA10","lytic polysaccharide monooxygenases",79.6,54,11,1.2e-18,"Metagenome",1,99.35,459,99,14834,149.84,"KO:K02927","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas commoda",1.461845999
